Year,Date,SU,Block,Treatment,Plant,PM,RAUDPC,Rating
2018,8/6/2018,Leaf,III,4,4,0,0,1
2018,8/6/2018,Leaf,III,4,5,0,0,1
2018,8/6/2018,Leaf,III,4,6,0,0,1
2018,8/6/2018,Leaf,III,4,7,0,0,1
2018,8/6/2018,Leaf,III,4,8,0,0,1
2018,8/6/2018,Leaf,IV,1,1,0,0,1
2018,8/6/2018,Leaf,IV,1,2,0,0,1
2018,8/6/2018,Leaf,IV,1,3,0,0,1
2018,8/6/2018,Leaf,IV,1,4,0,0,1
2018,8/6/2018,Leaf,IV,1,5,0,0,1
2018,8/6/2018,Leaf,IV,1,6,0,0,1
2018,8/6/2018,Leaf,IV,1,7,0,0,1
2018,8/6/2018,Leaf,IV,1,8,0,0,1
2018,8/6/2018,Leaf,IV,2,1,0,0,1
2018,8/6/2018,Leaf,IV,2,2,0,0,1
2018,8/6/2018,Leaf,IV,2,3,0,0,1
2018,8/6/2018,Leaf,IV,2,4,1,0.02083,1
2018,8/6/2018,Leaf,IV,2,5,0,0,1
2018,8/6/2018,Leaf,IV,2,6,0,0,1
2018,8/6/2018,Leaf,IV,2,7,0,0,1
2018,8/6/2018,Leaf,IV,2,8,0,0,1
2018,8/6/2018,Leaf,IV,3,1,1,0.02083,1
2018,8/6/2018,Leaf,IV,3,2,0,0,1
2018,8/6/2018,Leaf,IV,3,3,1,0.02083,1
2018,8/6/2018,Leaf,IV,3,4,0,0,1
2018,8/6/2018,Leaf,IV,3,5,0,0,1
2018,8/6/2018,Leaf,IV,3,6,1,0.02083,1
2018,8/6/2018,Leaf,IV,3,7,0,0,1
2018,8/6/2018,Leaf,IV,3,8,0,0,1
2018,8/6/2018,Leaf,IV,4,1,0,0,1
2018,8/6/2018,Leaf,IV,4,2,0,0,1
2018,8/6/2018,Leaf,IV,4,3,0,0,1
2018,8/6/2018,Leaf,IV,4,4,0,0,1
2018,8/6/2018,Leaf,IV,4,5,0,0,1
2018,8/6/2018,Leaf,IV,4,6,0,0,1
2018,8/6/2018,Leaf,IV,4,7,0,0,1
2018,8/6/2018,Leaf,IV,4,8,0,0,1
2018,8/6/2018,Leaf,V,1,1,0,0,1
2018,8/6/2018,Leaf,V,1,2,0,0,1
2018,8/6/2018,Leaf,V,1,3,0,0,1
2018,8/6/2018,Leaf,V,1,4,0,0,1
2018,8/6/2018,Leaf,V,1,5,0,0,1
2018,8/6/2018,Leaf,V,1,6,0,0,1
2018,8/6/2018,Leaf,V,1,7,0,0,1
2018,8/6/2018,Leaf,V,1,8,0,0,1
2018,8/6/2018,Leaf,V,2,1,0,0,1
2018,8/6/2018,Leaf,V,2,2,0,0,1
2018,8/6/2018,Leaf,V,2,3,0,0,1
2018,8/6/2018,Leaf,V,2,4,0,0,1
2018,8/6/2018,Leaf,V,2,5,0,0,1
2018,8/6/2018,Leaf,V,2,6,0,0,1
2018,8/6/2018,Leaf,V,2,7,0,0,1
2018,8/6/2018,Leaf,V,2,8,0,0,1
2018,8/6/2018,Leaf,V,3,1,0,0,1
2018,8/6/2018,Leaf,V,3,2,0,0,1
2018,8/6/2018,Leaf,V,3,3,0,0,1
2018,8/6/2018,Leaf,V,3,4,0,0,1
2018,8/6/2018,Leaf,V,3,5,0,0,1
2018,8/6/2018,Leaf,V,3,6,0,0,1
2018,8/6/2018,Leaf,V,3,7,0,0,1
2018,8/6/2018,Leaf,V,3,8,0,0,1
2018,8/6/2018,Leaf,V,4,1,0,0,1
2018,8/6/2018,Leaf,V,4,2,0,0,1
2018,8/6/2018,Leaf,V,4,3,0,0,1
2018,8/6/2018,Leaf,V,4,4,0,0,1
2018,8/6/2018,Leaf,V,4,5,1,0.02083,1
2018,8/6/2018,Leaf,V,4,6,0,0,1
2018,8/6/2018,Leaf,V,4,7,0,0,1
2018,8/6/2018,Leaf,V,4,8,0,0,1
2018,8/6/2018,Leaf,VI,1,1,0,0,1
2018,8/6/2018,Leaf,VI,1,2,0,0,1
2018,8/6/2018,Leaf,VI,1,3,0,0,1
2018,8/6/2018,Leaf,VI,1,4,0,0,1
2018,8/6/2018,Leaf,VI,1,5,0,0,1
2018,8/6/2018,Leaf,VI,1,6,0,0,1
2018,8/6/2018,Leaf,VI,1,7,0,0,1
2018,8/6/2018,Leaf,VI,1,8,0,0,1
2018,8/6/2018,Leaf,VI,2,1,0,0,1
2018,8/6/2018,Leaf,VI,2,2,0,0,1
2018,8/6/2018,Leaf,VI,2,3,0,0,1
2018,8/6/2018,Leaf,VI,2,4,0,0,1
2018,8/6/2018,Leaf,VI,2,5,0,0,1
2018,8/6/2018,Leaf,VI,2,6,0,0,1
2018,8/6/2018,Leaf,VI,2,7,2,0.04167,1
2018,8/6/2018,Leaf,VI,2,8,0,0,1
2018,8/6/2018,Leaf,VI,3,1,0,0,1
2018,8/6/2018,Leaf,VI,3,2,0,0,1
2018,8/6/2018,Leaf,VI,3,3,0,0,1
2018,8/6/2018,Leaf,VI,3,4,0,0,1
2018,8/6/2018,Leaf,VI,3,5,0,0,1
2018,8/6/2018,Leaf,VI,3,6,0,0,1
2018,8/6/2018,Leaf,VI,3,7,0,0,1
2018,8/6/2018,Leaf,VI,3,8,0,0,1
2018,8/6/2018,Leaf,VI,4,1,0,0,1
2018,8/6/2018,Leaf,VI,4,2,1,0.02083,1
2018,8/6/2018,Leaf,VI,4,3,0,0,1
2018,8/6/2018,Leaf,VI,4,4,0,0,1
2018,8/6/2018,Leaf,VI,4,5,0,0,1
2018,8/6/2018,Leaf,VI,4,6,0,0,1
2018,8/6/2018,Leaf,VI,4,7,0,0,1
2018,8/6/2018,Leaf,VI,4,8,0,0,1
2018,8/6/2018,Leaf,VII,1,1,1,0.02083,1
2018,8/6/2018,Leaf,VII,1,2,0,0,1
2018,8/6/2018,Leaf,VII,1,3,0,0,1
2018,8/6/2018,Leaf,VII,1,4,0,0,1
2018,8/6/2018,Leaf,VII,1,5,0,0,1
2018,8/6/2018,Leaf,VII,1,6,0,0,1
2018,8/6/2018,Leaf,VII,1,7,0,0,1
2018,8/6/2018,Leaf,VII,1,8,0,0,1
2018,8/6/2018,Leaf,VII,2,1,0,0,1
2018,8/6/2018,Leaf,VII,2,2,0,0,1
2018,8/6/2018,Leaf,VII,2,3,0,0,1
2018,8/6/2018,Leaf,VII,2,4,0,0,1
2018,8/6/2018,Leaf,VII,2,5,0,0,1
2018,8/6/2018,Leaf,VII,2,6,0,0,1
2018,8/6/2018,Leaf,VII,2,7,0,0,1
2018,8/6/2018,Leaf,VII,2,8,0,0,1
2018,8/6/2018,Leaf,VII,3,1,0,0,1
2018,8/6/2018,Leaf,VII,3,2,0,0,1
2018,8/6/2018,Leaf,VII,3,3,0,0,1
2018,8/6/2018,Leaf,VII,3,4,0,0,1
2018,8/6/2018,Leaf,VII,3,5,0,0,1
2018,8/6/2018,Leaf,VII,3,6,0,0,1
2018,8/6/2018,Leaf,VII,3,7,0,0,1
2018,8/6/2018,Leaf,VII,3,8,0,0,1
2018,8/6/2018,Leaf,VII,4,1,0,0,1
2018,8/6/2018,Leaf,VII,4,2,0,0,1
2018,8/6/2018,Leaf,VII,4,3,0,0,1
2018,8/6/2018,Leaf,VII,4,4,1,0.02083,1
2018,8/6/2018,Leaf,VII,4,5,0,0,1
2018,8/6/2018,Leaf,VII,4,6,1,0.02083,1
2018,8/6/2018,Leaf,VII,4,7,0,0,1
2018,8/6/2018,Leaf,VII,4,8,0,0,1
2018,8/16/2018,Leaf,I,1,1,0,.,.
2018,8/16/2018,Leaf,I,1,2,0,.,.
2018,8/16/2018,Leaf,I,1,3,0,.,.
2018,8/16/2018,Leaf,I,1,4,0,.,.
2018,8/16/2018,Leaf,I,1,5,0,.,.
2018,8/16/2018,Leaf,I,1,6,0,.,.
2018,8/16/2018,Leaf,I,1,7,0,.,.
2018,8/16/2018,Leaf,I,1,8,0,.,.
2018,8/16/2018,Leaf,I,2,1,0,.,.
2018,8/16/2018,Leaf,I,2,2,0,.,.
2018,8/16/2018,Leaf,I,2,3,0,.,.
2018,8/16/2018,Leaf,I,2,4,0,.,.
2018,8/16/2018,Leaf,I,2,5,0,.,.
2018,8/16/2018,Leaf,I,2,6,0,.,.
2018,8/16/2018,Leaf,I,2,7,0,.,.
2018,8/16/2018,Leaf,I,2,8,0,.,.
2018,8/16/2018,Leaf,I,3,1,0,.,.
2018,8/16/2018,Leaf,I,3,2,0,.,.
2018,8/16/2018,Leaf,I,3,3,0,.,.
2018,8/16/2018,Leaf,I,3,4,0,.,.
2018,8/16/2018,Leaf,I,3,5,0,.,.
2018,8/16/2018,Leaf,I,3,6,0,.,.
2018,8/16/2018,Leaf,I,3,7,0,.,.
2018,8/16/2018,Leaf,I,3,8,0,.,.
2018,8/16/2018,Leaf,I,4,1,0,.,.
2018,8/16/2018,Leaf,I,4,2,0,.,.
2018,8/16/2018,Leaf,I,4,3,0,.,.
2018,8/16/2018,Leaf,I,4,4,0,.,.
2018,8/16/2018,Leaf,I,4,5,0,.,.
2018,8/16/2018,Leaf,I,4,6,0,.,.
2018,8/16/2018,Leaf,I,4,7,0,.,.
2018,8/16/2018,Leaf,I,4,8,0,.,.
2018,8/16/2018,Leaf,II,1,1,0,.,.
2018,8/16/2018,Leaf,II,1,2,0,.,.
2018,8/16/2018,Leaf,II,1,3,0,.,.
2018,8/16/2018,Leaf,II,1,4,0,.,.
2018,8/16/2018,Leaf,II,1,5,0,.,.
2018,8/16/2018,Leaf,II,1,6,0,.,.
2018,8/16/2018,Leaf,II,1,7,0,.,.
2018,8/16/2018,Leaf,II,1,8,0,.,.
2018,8/16/2018,Leaf,II,2,1,0,.,.
2018,8/16/2018,Leaf,II,2,2,0,.,.
2018,8/16/2018,Leaf,II,2,3,0,.,.
2018,8/16/2018,Leaf,II,2,4,0,.,.
2018,8/16/2018,Leaf,II,2,5,0,.,.
2018,8/16/2018,Leaf,II,2,6,0,.,.
2018,8/16/2018,Leaf,II,2,7,0,.,.
2018,8/16/2018,Leaf,II,2,8,0,.,.
2018,8/16/2018,Leaf,II,3,1,0,.,.
2018,8/16/2018,Leaf,II,3,2,0,.,.
2018,8/16/2018,Leaf,II,3,3,0,.,.
2018,8/16/2018,Leaf,II,3,4,0,.,.
2018,8/16/2018,Leaf,II,3,5,0,.,.
2018,8/16/2018,Leaf,II,3,6,0,.,.
2018,8/16/2018,Leaf,II,3,7,0,.,.
2018,8/16/2018,Leaf,II,3,8,0,.,.
2018,8/16/2018,Leaf,II,4,1,0,.,.
2018,8/16/2018,Leaf,II,4,2,0,.,.
2018,8/16/2018,Leaf,II,4,3,0,.,.
2018,8/16/2018,Leaf,II,4,4,0,.,.
2018,8/16/2018,Leaf,II,4,5,0,.,.
2018,8/16/2018,Leaf,II,4,6,0,.,.
2018,8/16/2018,Leaf,II,4,7,0,.,.
2018,8/16/2018,Leaf,II,4,8,0,.,.
2018,8/16/2018,Leaf,III,1,1,0,.,.
2018,8/16/2018,Leaf,III,1,2,0,.,.
2018,8/16/2018,Leaf,III,1,3,0,.,.
2018,8/16/2018,Leaf,III,1,4,0,.,.
2018,8/16/2018,Leaf,III,1,5,0,.,.
2018,8/16/2018,Leaf,III,1,6,0,.,.
2018,8/16/2018,Leaf,III,1,7,0,.,.
2018,8/16/2018,Leaf,III,1,8,0,.,.
2018,8/16/2018,Leaf,III,2,1,0,.,.
2018,8/16/2018,Leaf,III,2,2,0,.,.
2018,8/16/2018,Leaf,III,2,3,0,.,.
2018,8/16/2018,Leaf,III,2,4,0,.,.
2018,8/16/2018,Leaf,III,2,5,0,.,.
2018,8/16/2018,Leaf,III,2,6,0,.,.
2018,8/16/2018,Leaf,III,2,7,0,.,.
2018,8/16/2018,Leaf,III,2,8,0,.,.
2018,8/16/2018,Leaf,III,3,1,0,.,.
2018,8/16/2018,Leaf,III,3,2,0,.,.
2018,8/16/2018,Leaf,III,3,3,0,.,.
2018,8/16/2018,Leaf,III,3,4,0,.,.
2018,8/16/2018,Leaf,III,3,5,0,.,.
2018,8/16/2018,Leaf,III,3,6,0,.,.
2018,8/16/2018,Leaf,III,3,7,0,.,.
2018,8/16/2018,Leaf,III,3,8,0,.,.
2018,8/16/2018,Leaf,III,4,1,0,.,.
2018,8/16/2018,Leaf,III,4,2,0,.,.
2018,8/16/2018,Leaf,III,4,3,0,.,.
2018,8/16/2018,Leaf,III,4,4,0,.,.
2018,8/16/2018,Leaf,III,4,5,0,.,.
2018,8/16/2018,Leaf,III,4,6,0,.,.
2018,8/16/2018,Leaf,III,4,7,0,.,.
2018,8/16/2018,Leaf,III,4,8,0,.,.
2018,8/16/2018,Leaf,IV,1,1,0,.,.
2018,8/16/2018,Leaf,IV,1,2,0,.,.
2018,8/16/2018,Leaf,IV,1,3,0,.,.
2018,8/16/2018,Leaf,IV,1,4,0,.,.
2018,8/16/2018,Leaf,IV,1,5,0,.,.
2018,8/16/2018,Leaf,IV,1,6,0,.,.
2018,8/16/2018,Leaf,IV,1,7,0,.,.
2018,8/16/2018,Leaf,IV,1,8,0,.,.
2018,8/16/2018,Leaf,IV,2,1,0,.,.
2018,8/16/2018,Leaf,IV,2,2,0,.,.
2018,8/16/2018,Leaf,IV,2,3,0,.,.
2018,8/16/2018,Leaf,IV,2,4,0,.,.
2018,8/16/2018,Leaf,IV,2,5,0,.,.
2018,8/16/2018,Leaf,IV,2,6,0,.,.
2018,8/16/2018,Leaf,IV,2,7,0,.,.
2018,8/16/2018,Leaf,IV,2,8,0,.,.
2018,8/16/2018,Leaf,IV,3,1,0,.,.
2018,8/16/2018,Leaf,IV,3,2,0,.,.
2018,8/16/2018,Leaf,IV,3,3,0,.,.
2018,8/16/2018,Leaf,IV,3,4,0,.,.
2018,8/16/2018,Leaf,IV,3,5,0,.,.
2018,8/16/2018,Leaf,IV,3,6,0,.,.
2018,8/16/2018,Leaf,IV,3,7,0,.,.
2018,8/16/2018,Leaf,IV,3,8,0,.,.
2018,8/16/2018,Leaf,IV,4,1,0,.,.
2018,8/16/2018,Leaf,IV,4,2,0,.,.
2018,8/16/2018,Leaf,IV,4,3,0,.,.
2018,8/16/2018,Leaf,IV,4,4,0,.,.
2018,8/16/2018,Leaf,IV,4,5,0,.,.
2018,8/16/2018,Leaf,IV,4,6,0,.,.
2018,8/16/2018,Leaf,IV,4,7,0,.,.
2018,8/16/2018,Leaf,IV,4,8,0,.,.
2018,8/16/2018,Leaf,V,1,1,0,.,.
2018,8/16/2018,Leaf,V,1,2,0,.,.
2018,8/16/2018,Leaf,V,1,3,0,.,.
2018,8/16/2018,Leaf,V,1,4,0,.,.
2018,8/16/2018,Leaf,V,1,5,0,.,.
2018,8/16/2018,Leaf,V,1,6,0,.,.
2018,8/16/2018,Leaf,V,1,7,0,.,.
2018,8/16/2018,Leaf,V,1,8,0,.,.
2018,8/16/2018,Leaf,V,2,1,0,.,.
2018,8/16/2018,Leaf,V,2,2,0,.,.
2018,8/16/2018,Leaf,V,2,3,0,.,.
2018,8/16/2018,Leaf,V,2,4,0,.,.
2018,8/16/2018,Leaf,V,2,5,0,.,.
2018,8/16/2018,Leaf,V,2,6,0,.,.
2018,8/16/2018,Leaf,V,2,7,0,.,.
2018,8/16/2018,Leaf,V,2,8,0,.,.
2018,8/16/2018,Leaf,V,3,1,0,.,.
2018,8/16/2018,Leaf,V,3,2,0,.,.
2018,8/16/2018,Leaf,V,3,3,0,.,.
2018,8/16/2018,Leaf,V,3,4,0,.,.
2018,8/16/2018,Leaf,V,3,5,0,.,.
2018,8/16/2018,Leaf,V,3,6,0,.,.
2018,8/16/2018,Leaf,V,3,7,0,.,.
2018,8/16/2018,Leaf,V,3,8,0,.,.
2018,8/16/2018,Leaf,V,4,1,0,.,.
2018,8/16/2018,Leaf,V,4,2,0,.,.
2018,8/16/2018,Leaf,V,4,3,0,.,.
2018,8/16/2018,Leaf,V,4,4,0,.,.
2018,8/16/2018,Leaf,V,4,5,0,.,.
2018,8/16/2018,Leaf,V,4,6,0,.,.
2018,8/16/2018,Leaf,V,4,7,0,.,.
2018,8/16/2018,Leaf,V,4,8,0,.,.
2018,8/16/2018,Leaf,VI,1,1,0,.,.
2018,8/16/2018,Leaf,VI,1,2,0,.,.
2018,8/16/2018,Leaf,VI,1,3,0,.,.
2018,8/16/2018,Leaf,VI,1,4,0,.,.
2018,8/16/2018,Leaf,VI,1,5,0,.,.
2018,8/16/2018,Leaf,VI,1,6,0,.,.
2018,8/16/2018,Leaf,VI,1,7,0,.,.
2018,8/16/2018,Leaf,VI,1,8,0,.,.
2018,8/16/2018,Leaf,VI,2,1,0,.,.
2018,8/16/2018,Leaf,VI,2,2,0,.,.
2018,8/16/2018,Leaf,VI,2,3,0,.,.
2018,8/16/2018,Leaf,VI,2,4,0,.,.
2018,8/16/2018,Leaf,VI,2,5,0,.,.
2018,8/16/2018,Leaf,VI,2,6,0,.,.
2018,8/16/2018,Leaf,VI,2,7,0,.,.
2018,8/16/2018,Leaf,VI,2,8,0,.,.
2018,8/16/2018,Leaf,VI,3,1,0,.,.
2018,8/16/2018,Leaf,VI,3,2,0,.,.
2018,8/16/2018,Leaf,VI,3,3,0,.,.
2018,8/16/2018,Leaf,VI,3,4,0,.,.
2018,8/16/2018,Leaf,VI,3,5,0,.,.
2018,8/16/2018,Leaf,VI,3,6,0,.,.
2018,8/16/2018,Leaf,VI,3,7,0,.,.
2018,8/16/2018,Leaf,VI,3,8,0,.,.
2018,8/16/2018,Leaf,VI,4,1,0,.,.
2018,8/16/2018,Leaf,VI,4,2,0,.,.
2018,8/16/2018,Leaf,VI,4,3,0,.,.
2018,8/16/2018,Leaf,VI,4,4,0,.,.
2018,8/16/2018,Leaf,VI,4,5,0,.,.
2018,8/16/2018,Leaf,VI,4,6,0,.,.
2018,8/16/2018,Leaf,VI,4,7,0,.,.
2018,8/16/2018,Leaf,VI,4,8,0,.,.
2018,8/16/2018,Leaf,VII,1,1,0,.,.
2018,8/16/2018,Leaf,VII,1,2,0,.,.
2018,8/16/2018,Leaf,VII,1,3,0,.,.
2018,8/16/2018,Leaf,VII,1,4,0,.,.
2018,8/16/2018,Leaf,VII,1,5,0,.,.
2018,8/16/2018,Leaf,VII,1,6,0,.,.
2018,8/16/2018,Leaf,VII,1,7,0,.,.
2018,8/16/2018,Leaf,VII,1,8,0,.,.
2018,8/16/2018,Leaf,VII,2,1,0,.,.
2018,8/16/2018,Leaf,VII,2,2,0,.,.
2018,8/16/2018,Leaf,VII,2,3,0,.,.
2018,8/16/2018,Leaf,VII,2,4,0,.,.
2018,8/16/2018,Leaf,VII,2,5,0,.,.
2018,8/16/2018,Leaf,VII,2,6,0,.,.
2018,8/16/2018,Leaf,VII,2,7,0,.,.
2018,8/16/2018,Leaf,VII,2,8,0,.,.
2018,8/16/2018,Leaf,VII,3,1,0,.,.
2018,8/16/2018,Leaf,VII,3,2,0,.,.
2018,8/16/2018,Leaf,VII,3,3,0,.,.
2018,8/16/2018,Leaf,VII,3,4,0,.,.
2018,8/16/2018,Leaf,VII,3,5,0,.,.
2018,8/16/2018,Leaf,VII,3,6,0,.,.
2018,8/16/2018,Leaf,VII,3,7,0,.,.
2018,8/16/2018,Leaf,VII,3,8,0,.,.
2018,8/16/2018,Leaf,VII,4,1,0,.,.
2018,8/16/2018,Leaf,VII,4,2,0,.,.
2018,8/16/2018,Leaf,VII,4,3,0,.,.
2018,8/16/2018,Leaf,VII,4,4,0,.,.
2018,8/16/2018,Leaf,VII,4,5,0,.,.
2018,8/16/2018,Leaf,VII,4,6,0,.,.
2018,8/16/2018,Leaf,VII,4,7,0,.,.
2018,8/16/2018,Leaf,VII,4,8,0,.,.
2018,8/30/2018,Leaf,I,1,1,0,.,.
2018,8/30/2018,Leaf,I,1,2,0,.,.
2018,8/30/2018,Leaf,I,1,3,0,.,.
2018,8/30/2018,Leaf,I,1,4,0,.,.
2018,8/30/2018,Leaf,I,1,5,0,.,.
2018,8/30/2018,Leaf,I,1,6,0,.,.
2018,8/30/2018,Leaf,I,1,7,0,.,.
2018,8/30/2018,Leaf,I,1,8,0,.,.
2018,8/30/2018,Leaf,I,2,1,0,.,.
2018,8/30/2018,Leaf,I,2,2,0,.,.
2018,8/30/2018,Leaf,I,2,3,0,.,.
2018,8/30/2018,Leaf,I,2,4,1,.,.
2018,8/30/2018,Leaf,I,2,5,0,.,.
2018,8/30/2018,Leaf,I,2,6,0,.,.
2018,8/30/2018,Leaf,I,2,7,0,.,.
2018,8/30/2018,Leaf,I,2,8,0,.,.
2018,8/30/2018,Leaf,I,3,1,0,.,.
2018,8/30/2018,Leaf,I,3,2,0,.,.
2018,8/30/2018,Leaf,I,3,3,0,.,.
2018,8/30/2018,Leaf,I,3,4,0,.,.
2018,8/30/2018,Leaf,I,3,5,0,.,.
2018,8/30/2018,Leaf,I,3,6,0,.,.
2018,8/30/2018,Leaf,I,3,7,0,.,.
2018,8/30/2018,Leaf,I,3,8,0,.,.
2018,8/30/2018,Leaf,I,4,1,0,.,.
2018,8/30/2018,Leaf,I,4,2,0,.,.
2018,8/30/2018,Leaf,I,4,3,0,.,.
2018,8/30/2018,Leaf,I,4,4,0,.,.
2018,8/30/2018,Leaf,I,4,5,0,.,.
2018,8/30/2018,Leaf,I,4,6,0,.,.
2018,8/30/2018,Leaf,I,4,7,0,.,.
2018,8/30/2018,Leaf,I,4,8,0,.,.
2018,8/30/2018,Leaf,II,1,1,0,.,.
2018,8/30/2018,Leaf,II,1,2,0,.,.
2018,8/30/2018,Leaf,II,1,3,0,.,.
2018,8/30/2018,Leaf,II,1,4,0,.,.
2018,8/30/2018,Leaf,II,1,5,0,.,.
2018,8/30/2018,Leaf,II,1,6,0,.,.
2018,8/30/2018,Leaf,II,1,7,0,.,.
2018,8/30/2018,Leaf,II,1,8,0,.,.
2018,8/30/2018,Leaf,II,2,1,0,.,.
2018,8/30/2018,Leaf,II,2,2,0,.,.
2018,8/30/2018,Leaf,II,2,3,0,.,.
2018,8/30/2018,Leaf,II,2,4,0,.,.
2018,8/30/2018,Leaf,II,2,5,0,.,.
2018,8/30/2018,Leaf,II,2,6,0,.,.
2018,8/30/2018,Leaf,II,2,7,0,.,.
2018,8/30/2018,Leaf,II,2,8,0,.,.
2018,8/30/2018,Leaf,II,3,1,0,.,.
2018,8/30/2018,Leaf,II,3,2,0,.,.
2018,8/30/2018,Leaf,II,3,3,0,.,.
2018,8/30/2018,Leaf,II,3,4,0,.,.
2018,8/30/2018,Leaf,II,3,5,0,.,.
2018,8/30/2018,Leaf,II,3,6,0,.,.
2018,8/30/2018,Leaf,II,3,7,0,.,.
2018,8/30/2018,Leaf,II,3,8,0,.,.
2018,8/30/2018,Leaf,II,4,1,0,.,.
2018,8/30/2018,Leaf,II,4,2,0,.,.
