Year,Date,Field,Block,Treatment,DM,_Alpha,_Beta,HSI,Oil,Color
2020,9/4/2020,Nugget13,IV,3,23.9,16.8,5,0.246,2.5,6
2020,9/4/2020,Nugget13,V,3,23.5,15,4.5,0.239,2.3,5
2020,9/4/2020,Nugget13,VI,3,25.7,15.3,4.3,0.236,2.4,5
2020,9/4/2020,Nugget13,VII,3,24.3,15.5,4.4,0.233,1.9,6
2020,9/4/2020,Nugget13,I,4,23.4,15.1,4.5,0.24,2.6,6
2020,9/4/2020,Nugget13,II,4,24.8,16.2,4.8,0.234,2.3,6
2020,9/4/2020,Nugget13,III,4,23.4,16,4.7,0.232,2.3,6
2020,9/4/2020,Nugget13,IV,4,25.1,17.3,4.7,0.231,2.3,6
2020,9/4/2020,Nugget13,V,4,24,15.9,4.7,0.248,2.5,5
2020,9/4/2020,Nugget13,VI,4,16.7,15.8,4.6,0.243,2.1,5
2020,9/4/2020,Nugget13,VII,4,23.8,15.3,4.5,0.236,2.3,6
